Identifiers,Values
B,2.3904301531006
B,2.25569303063865
B,2.32728988978107
B,2.27100509748731
B,2.2754755387386
B,2.31818954666052
B,2.36348797669628
B,2.50631520472877
B,2.33089933706004
B,2.40533122350194
B,2.34687757517695
B,2.33610625580419
B,2.41625109119766
B,2.3922271561292
C,1.98323425376935
C,2.22646020894473
C,2.08105812485419
C,2.210632903789
C,2.17330489560975
C,2.0241081521635
C,1.96201373219987
C,2.39683499284033
C,2.33984943922908
C,2.21857131126135
C,1.99460794583712
C,2.18246697764475
C,2.27471877822732
C,1.97786505187091
C,2.04320886218623
C,2.21910706133729
C,2.18238469906245
C,2.37756968306485
C,2.0876530215443
C,2.19320192397797
C,2.10172547403792
C,2.22030632426093
C,2.21972755730429
C,2.04704957398528
C,1.98811370919502
C,2.10876605152768
C,2.37784279359335
C,2.38803127687796
C,2.43581661147399
C,2.49952878281754
C,2.28445697387812
C,2.06378015226381
C,2.4540844772281
C,2.32714517787363
C,2.19165036293149
C,2.35989137734035
C,2.32089422924073
C,2.14156154889065
C,2.28812428411836
C,2.29970135468323
C,2.30647265805266
C,2.35505407235888
C,2.21360795203681
C,2.30684023914572
C,2.26525735389423
C,2.12631008170259
C,2.0986129824381
C,2.27179299963365
C,2.18985607569813
C,2.36268030646819
C,2.07277320741095
C,2.17623705741218
C,2.22655581349115
C,2.07649309779546
C,2.08853856417094
C,2.32363922039947
C,2.22979345069239
C,2.2565269613757
C,2.31221532528871
C,2.12939378052387
C,2.19762399816534
C,2.29998708628838
C,2.45280724592639
C,2.37544265511699
C,2.15461764661868
C,2.19726970442575
C,2.1549110460127
C,2.35387088942661
C,2.46294795431676
C,2.21207194071279
C,2.20992778736003
C,2.46051186657625
C,2.4345374985726
C,2.33619256988796
C,2.35342839821481
C,2.27064539995596
C,2.33332337112807
C,2.24742474517889
C,2.43526906093598
C,2.31802717458475
C,2.18229470446035
C,2.17949103893675
D,2.14677763157321
D,2.27088985153843
D,2.36485626107266
D,2.3724205519162
D,2.35986251574471
D,2.23943744236292
D,2.42505130166622
D,2.10814021896413
D,2.23841068075256
D,2.26447757178178
D,2.24874412023457
D,2.22843330819985
D,2.09481430995022
D,2.17283786572091
D,2.3548635748276
D,2.15476538118456
D,2.12404811024872
D,2.27266659134699
D,2.35459796569648
D,2.55673057592519
D,2.46709501101075
D,2.44614171583889
D,2.33845580572187
D,2.43570857003979
D,2.37438455032147
D,2.35083538760391
D,2.57974007616889
D,2.37668007052556
D,2.45552579093932
D,2.38888949028235
D,2.43698121815622
D,2.44873069011795
D,2.37279188813166
D,2.28173692225525
D,2.45869851360376
D,2.54792609035625
D,2.45632567683786
D,2.34125515901479
D,2.37435539578041
D,2.42123277075267
D,2.36743324707413
D,2.32602109369684
D,2.30049053800081
D,2.17612384966977
D,2.29976850502093
D,2.27649898812611
D,2.07852719436313
D,2.14809574451486
D,2.22515735673497
D,2.21246614376979
D,2.05960386211593
D,2.25406722298451
D,2.38939584922108
D,2.32084778038186
D,2.27730576208
D,2.58440759585403
D,2.22829513897624
D,2.26230869533547
D,2.30691539115702
D,2.37761057219888
D,2.28797095433638
D,2.29847575498874
D,2.38258317489331
D,2.53349238507968
D,2.53920138993035
D,2.58449979933991
D,2.47064944596213
D,2.73635942193795
D,2.56601275537075
D,2.5715839751294
D,2.35479693372473
D,2.36175557943472
D,2.39832361781901
D,2.75887859178512
D,2.66641377088329
D,2.58061222717025
D,2.47296269618702
D,2.36616788414172
D,2.45663473815166
D,2.40122991317141
D,2.32225159752033
D,2.36376112896712
E,2.5418844995762
E,2.45697314550431
E,2.29349110340931
E,2.24471771264491
E,1.97903453881397
E,2.35389759678347
E,2.44436400247925
E,2.32947517435754
E,2.24839627356378
E,2.51565901113337
E,2.60275814114393
E,2.50772987268911
E,2.2425645744991
E,2.21215157103077
E,2.34379420935661
E,2.56446038668922
E,2.19938863734674
E,2.14047905309688
E,2.20607689254844
E,2.32944713515113
E,2.35325367635665
E,2.48534118132208
E,2.33242505502221
E,2.3609502633192
E,2.54928065624842
E,2.47821492566671
E,2.45130888068439
E,2.41961625664257
E,2.41583811844505
E,2.54142666371695
E,2.40798350963499
E,2.49110181903219
E,2.46069680492562
E,2.49548944231616
E,2.57141133927761
E,2.43274123719745
E,2.27485002088806
E,2.28570120572872
E,2.45952768410386
E,2.45938943612633
E,2.83486386022976
E,2.60019864966916
E,2.21279352799561
E,2.45108554962584
E,2.45277780898218
E,2.54257378559304
E,2.41893668761135
E,2.46414480059461
E,2.492597295118
E,2.36633617254876
E,2.3705985825336
E,2.37351492673288
E,2.3807297405776
E,2.33243607458216
E,2.30784694473922
E,2.61538097547822
E,2.44501602567659
E,2.27287493682762
E,2.23016696266907
E,2.44874248068277
E,2.32187930895155
E,2.56732959161484
E,2.52108409899231
E,2.61741141052801
E,2.23342787067085
E,2.50963314648963
E,2.7070240670222
E,2.49582127228831
E,2.37877992626209
E,2.45593159384074
E,2.51584744150937
E,2.43668416418142
E,2.51749379154804
