betapwr,run,side
0.015584967,1,1
0.01596271,1,1
0.016540823,1,1
0.017389571,1,1
0.018618093,1,1
0.020357814,1,1
0.02272581,1,1
0.025782794,1,1
0.029500803,1,1
0.03374893,1,1
0.03829658,1,1
0.04282865,1,1
0.046968174,1,1
0.050307223,1,1
0.05245055,1,1
0.053074104,1,1
0.051991494,1,1
0.049211146,1,1
0.044962508,1,1
0.039676213,1,1
0.033918723,1,1
0.028298922,1,1
0.023373357,1,1
0.019573771,1,1
0.017167946,1,1
0.01625056,1,1
0.016752615,1,1
0.018458972,1,1
0.021030947,1,1
0.024038327,1,1
0.027007167,1,1
0.029484672,1,1
0.031112831,1,1
0.031693834,1,1
0.0312274,1,1
0.029905444,1,1
0.028061577,1,1
0.026087139,1,1
0.024336509,1,1
0.023048008,1,1
0.022301695,1,1
0.022023713,1,1
0.022032627,1,1
0.022111058,1,1
0.022079359,1,1
0.021848744,1,1
0.021438588,1,1
0.020954397,1,1
0.020535775,1,1
0.020293863,1,1
0.02026186,1,1
0.020378317,1,1
0.020511321,1,1
0.020515824,1,1
0.020302204,1,1
0.019887816,1,1
0.019408575,1,1
0.019083039,1,1
0.01914106,1,1
0.019744098,1,1
0.020928152,1,1
0.022591077,1,1
0.02452792,1,1
0.026498771,1,1
0.02830162,1,1
0.029822686,1,1
0.031047923,1,1
0.032036614,1,1
0.03287314,1,1
0.03361998,1,1
0.034291268,1,1
0.034854876,1,1
0.035257723,1,1
0.035459963,1,1
0.035461698,1,1
0.035310446,1,1
0.035085662,1,1
0.034865141,1,1
0.034684934,1,1
0.034508213,1,1
0.034218005,1,1
0.033642895,1,1
0.032613856,1,1
0.031037431,1,1
0.028960624,1,1
0.026601363,1,1
0.024327267,1,1
0.022582341,1,1
0.021780015,1,1
0.022194625,1,1
0.02388663,1,1
0.02668759,1,1
0.030251245,1,1
0.034153075,1,1
0.038001456,1,1
0.041517966,1,1
0.044557176,1,1
0.047063549,1,1
0.048993078,1,1
0.050244785,1,1
0.05064236,1,1
0.049980304,1,1
0.048115006,1,1
0.045056801,1,1
0.041016905,1,1
