betapwr,run,side
1.589384951,1,1
1.482903939,1,1
1.442063498,1,1
1.46954398,1,1
1.559954437,1,1
1.701946083,1,1
1.880084086,1,1
2.076007875,1,1
2.269238421,1,1
2.438495517,1,1
2.564194133,1,1
2.631969994,1,1
2.636137721,1,1
2.581530356,1,1
2.482562526,1,1
2.359463431,1,1
2.232878969,1,1
2.118781456,1,1
2.025461406,1,1
1.953405654,1,1
1.897604743,1,1
1.85091704,1,1
1.806958987,1,1
1.761573148,1,1
1.712847627,1,1
1.660390031,1,1
1.60473826,1,1
1.547416508,1,1
1.491532762,1,1
1.442372282,1,1
1.40741102,1,1
1.395495178,1,1
1.415330952,1,1
1.473634551,1,1
1.573252835,1,1
1.711458516,1,1
1.878677695,1,1
2.058154928,1,1
2.227255224,1,1
2.360888416,1,1
2.436776298,1,1
2.441248877,1,1
2.373560137,1,1
2.246899143,1,1
2.085410042,1,1
1.918107546,1,1
1.77177394,1,1
1.665159558,1,1
1.606068582,1,1
1.591708906,1,1
1.61165405,1,1
1.652241161,1,1
1.701128132,1,1
1.750796669,1,1
1.799927743,1,1
1.851976563,1,1
1.911150725,1,1
1.977220881,1,1
2.041577666,1,1
2.086945641,1,1
2.091831931,1,1
2.038564981,1,1
1.921763306,1,1
1.753410201,1,1
1.56189374,1,1
1.384915575,1,1
1.258853113,1,1
1.208676775,1,1
1.242176092,1,1
1.350258234,1,1
1.512437176,1,1
1.704569966,1,1
1.905322793,1,1
2.098938179,1,1
2.274017735,1,1
2.420140674,1,1
2.525152453,1,1
2.575383728,1,1
2.559224366,1,1
2.47238397,1,1
2.321976427,1,1
2.126946761,1,1
1.914119527,1,1
1.711325503,1,1
1.540473404,1,1
1.413344339,1,1
1.331417554,1,1
1.289048511,1,1
1.277894406,1,1
1.290303641,1,1
1.320405624,1,1
1.363170517,1,1
1.412872066,1,1
1.462595067,1,1
1.505669135,1,1
1.538674784,1,1
1.56463077,1,1
1.594625758,1,1
1.646610102,1,1
1.741070118,1,1
1.894459042,1,1
2.112177368,1,1
2.383323611,1,1
2.679237185,1,1
2.956998003,1,1
3.167656194,1,1
3.267384486,1,1
3.228520849,1,1
3.04715944,1,1
2.744833266,1,1
2.363691272,1,1
1.956716735,1,1
1.576109754,1,1
1.263354902,1,1
1.043619881,1,1
0.925394864,1,1
0.904378896,1,1
0.96923873,1,1
1.106479484,1,1
1.302411453,1,1
1.541811994,1,1
1.804722662,1,1
2.064039291,1,1
2.286453984,1,1
2.437777271,1,1
2.491360481,1,1
2.436429636,1,1
2.282704065,1,1
2.059029053,1,1
1.806248414,1,1
1.56691063,1,1
1.375487488,1,1
1.252180302,1,1
1.20158771,1,1
1.215525289,1,1
1.278044943,1,1
1.370574697,1,1
1.475837408,1,1
1.580212586,1,1
1.674928745,1,1
1.756676107,1,1
1.828005266,1,1
1.897485,1,1
1.979258487,1,1
2.091475739,1,1
2.253144758,1,1
2.479304809,1,1
2.775133583,1,1
3.130529403,1,1
3.517431292,1,1
3.892041128,1,1
4.202795629,1,1
4.402652663,1,1
4.461994747,1,1
4.377483926,1,1
4.173298649,1,1
3.894036198,1,1
3.59185356,1,1
3.312544539,1,1
3.085254038,1,1
2.918607508,1,1
2.803321381,1,1
2.71919549,1,1
2.643555496,1,1
2.558644709,1,1
2.456500139,1,1
2.340789087,1,1
2.225631888,1,1
2.131751343,1,1
2.08068694,1,1
2.088392703,1,1
2.160031213,1,1
2.287728008,1,1
2.452201017,1,1
2.627747671,1,1
2.788709976,1,1
2.914965015,1,1
2.994546218,1,1
3.022921384,1,1
3.000001844,1,1
2.92685102,1,1
2.80390291,1,1
2.631468551,1,1
2.412006859,1,1
2.152737262,1,1
1.867060508,1,1
1.573878119,1,1
1.294867716,1,1
1.050601877,1,1
0.856769844,1,1
0.721617835,1,1
0.645226799,1,1
0.620641504,1,1
0.636356655,1,1
